#datetime,distance[cm]
2022-07-08T17:39:25.386122,98.3
2022-07-08T17:39:26.714097,103.2
2022-07-08T17:39:28.043258,102.9
2022-07-08T17:39:29.371139,103.3
2022-07-08T17:39:30.699025,103.2
2022-07-08T17:39:32.027507,106.2
2022-07-08T17:39:33.356163,103.8
2022-07-08T17:39:34.684145,103.7
2022-07-08T17:39:36.012015,103.7
2022-07-08T17:39:37.341019,106.0
2022-07-08T17:39:38.670333,105.9
2022-07-08T17:39:39.998159,103.2
2022-07-08T17:39:41.325895,102.8
2022-07-08T17:39:42.654990,105.1
2022-07-08T17:39:43.982831,102.9
2022-07-08T17:39:45.310711,103.5
2022-07-08T17:39:46.638785,102.8
2022-07-08T17:39:47.968306,103.8
2022-07-08T17:39:49.296497,105.3
2022-07-08T17:39:50.625444,109.4
2022-07-08T17:39:51.953912,104.4
2022-07-08T17:39:53.281564,102.4
2022-07-08T17:39:54.609155,102.6
2022-07-08T17:39:55.937905,106.7
2022-07-08T17:39:57.265686,102.8
2022-07-08T17:39:58.593415,102.9
2022-07-08T17:39:59.921275,103.2
2022-07-08T17:40:01.248671,95.1
2022-07-08T17:40:02.575287,95.5
2022-07-08T17:40:03.902187,96.3
2022-07-08T17:40:05.229144,95.1
2022-07-08T17:40:06.555643,95.5
2022-07-08T17:40:07.882213,95.4
2022-07-08T17:40:09.208617,95.4
2022-07-08T17:40:10.536058,95.3
2022-07-08T17:40:11.862430,95.1
2022-07-08T17:40:13.188962,95.1
2022-07-08T17:40:14.516803,95.1
2022-07-08T17:40:15.844632,95.1
2022-07-08T17:40:17.171220,95.5
2022-07-08T17:40:18.497619,95.1
2022-07-08T17:40:19.824855,95.3
2022-07-08T17:40:21.151366,94.6
2022-07-08T17:40:22.477812,95.4
2022-07-08T17:40:23.805671,95.5
2022-07-08T17:40:25.133635,95.4
2022-07-08T17:40:26.460345,95.4
2022-07-08T17:40:27.786954,95.5
2022-07-08T17:40:29.113599,95.5
2022-07-08T17:40:30.440027,95.5
2022-07-08T17:40:31.766506,95.3
2022-07-08T17:40:33.094094,95.2
2022-07-08T17:40:34.420765,95.4
2022-07-08T17:40:35.747316,95.4
2022-07-08T17:40:37.074219,95.5
2022-07-08T17:40:38.401325,95.3
2022-07-08T17:40:39.727764,95.1
2022-07-08T17:40:41.054257,95.1
2022-07-08T17:40:42.381944,94.9
2022-07-08T17:40:43.709167,95.4
2022-07-08T17:40:45.035559,94.7
2022-07-08T17:40:46.361858,94.5
2022-07-08T17:40:47.688977,94.4
2022-07-08T17:40:49.015484,94.4
2022-07-08T17:40:50.341823,94.5
2022-07-08T17:40:51.669297,94.2
2022-07-08T17:40:52.995936,94.3
2022-07-08T17:40:54.322268,94.0
2022-07-08T17:40:55.648528,94.1
2022-07-08T17:40:56.975830,94.0
2022-07-08T17:40:58.302253,94.1
2022-07-08T17:40:59.628310,93.6
2022-07-08T17:41:00.955660,93.6
2022-07-08T17:41:02.281942,93.6
2022-07-08T17:41:03.607945,93.7
2022-07-08T17:41:04.934028,93.1
2022-07-08T17:41:06.260152,93.6
2022-07-08T17:41:07.586239,93.1
2022-07-08T17:41:08.912230,93.1
2022-07-08T17:41:10.238266,93.5
2022-07-08T17:41:11.564333,93.1
2022-07-08T17:41:12.890433,92.9
2022-07-08T17:41:14.216424,93.1
2022-07-08T17:41:15.542580,93.2
2022-07-08T17:41:16.868632,93.1
2022-07-08T17:41:18.194828,93.3
2022-07-08T17:41:19.521037,93.3
2022-07-08T17:41:20.847068,93.1
2022-07-08T17:41:22.173083,92.9
2022-07-08T17:41:23.499080,93.3
2022-07-08T17:41:24.825226,93.2
2022-07-08T17:41:26.151250,93.2
2022-07-08T17:41:27.477333,93.3
2022-07-08T17:41:28.803351,93.1
2022-07-08T17:41:30.129276,93.1
2022-07-08T17:41:31.455281,93.0
2022-07-08T17:41:32.781377,93.2
2022-07-08T17:41:34.107512,92.9
